title,id
DAL.US/USD,73028
DBK.DE/EUR,55940
AF.FR/EUR,72004
AGS.BE/EUR,72348
AIR.FR/EUR,60182
ALV.DE/EUR,54324
AMAT.US/USD,70018
AMD.US/USD,72656
AMS.ES/EUR,72156
AMWL.US/USD,82188
AMZN.US/USD,70022
MKR/USD,82864
MMM.US/USD,20000
MRK.US/USD,23436
MRNA.US/USD,82192
MSFT.US/USD,23638
MU.US/USD,70170
BABA.US/USD,72692
BAC.US/USD,72804
BARC.GB/GBX,71384
BAS.DE/EUR,54526
BAT/USD,77780
BATS.GB/GBX,71392
BAYN.DE/EUR,54728
BBVA.ES/EUR,72160
BCH/USD,77688
BELG.BE/EUR,72380
BIIB.US/USD,70032
JNK.US/USD,73900
JPN.IDX/JPY,9012
JWN.US/USD,73648
KO.US/USD,21232
KRX.IE/EUR,82172
KSS.US/USD,73484
GAS.CMD/USD,10694
GAS.ES/EUR,72212
GBP/AUD,2080
GBP/CAD,2082
GBP/CHF,2022
GBP/JPY,2024
GBP/NZD,2162
GBP/USD,2026
GBR.IDX/GBP,9010
GDX.US/USD,74072
GDXJ.US/USD,74346
TUI1.DE/EUR,71212
TWTR.US/USD,74032
UBER.US/USD,82224
UKGILT.TR/GBP,77664
ULVR.GB/GBX,71540
UNI/USD,82850
UU.GB/GBX,71542
V.US/USD,25248
VALE.US/USD,74270
VEA.US/USD,74084
VGK.US/USD,74088
VNA.DE/EUR,71216
VNQ.US/USD,74092
VOW3.DE/EUR,59980
VWS.DK/DKK,72432
VXX.US/USD,74258
VZ.US/USD,25048
WDC.US/USD,70254
WFC.US/USD,74148
X.US/USD,74052
HKD/JPY,2402
HKG.IDX/HKD,9024
HPQ.US/USD,73280
