PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.7, 'stoploss': 11.29} Rank = 29 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.56, 'stoploss': 11.25} Rank = 30 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.64, 'stoploss': 11.28} Rank = 31 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.61, 'stoploss': 11.26} Rank = 32 Crowding Distance = inf
PNL = 53.45 Max. Drawdown = 46.55 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.66, 'stoploss': 11.31} Rank = 33 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.68, 'stoploss': 11.3} Rank = 34 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.55, 'stoploss': 11.25} Rank = 35 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.71, 'stoploss': 11.28} Rank = 36 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.71, 'stoploss': 11.31} Rank = 37 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.68, 'stoploss': 11.29} Rank = 38 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.7, 'stoploss': 11.28} Rank = 39 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.64, 'stoploss': 11.31} Rank = 40 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.61, 'stoploss': 11.29} Rank = 41 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.7, 'stoploss': 11.31} Rank = 42 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.66, 'stoploss': 11.3} Rank = 43 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.53, 'stoploss': 11.25} Rank = 44 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.61, 'stoploss': 11.28} Rank = 45 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.58, 'stoploss': 11.26} Rank = 46 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.63, 'stoploss': 11.31} Rank = 47 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.66, 'stoploss': 11.29} Rank = 48 Crowding Distance = inf
