PNL = 11471.16 Max. Drawdown = 620.37 Parameters = {'slow_ma_period': 939, 'fast_ma_period': 3, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.025132392661404525
PNL = 8222.47 Max. Drawdown = 330.24 Parameters = {'slow_ma_period': 1627, 'fast_ma_period': 5, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.02479455532646573
PNL = 8064.12 Max. Drawdown = 323.88 Parameters = {'slow_ma_period': 1627, 'fast_ma_period': 6, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.024277080511649528
PNL = 5004.99 Max. Drawdown = 177.07 Parameters = {'slow_ma_period': 1230, 'fast_ma_period': 55, 'atr_period': 130, 'takeprofit': 3.44, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.02387842505358693
PNL = 4884.75 Max. Drawdown = 177.04 Parameters = {'slow_ma_period': 1230, 'fast_ma_period': 52, 'atr_period': 164, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.023741112752991286
PNL = 11195.62 Max. Drawdown = 605.21 Parameters = {'slow_ma_period': 934, 'fast_ma_period': 3, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.023314833529542625
PNL = 7107.62 Max. Drawdown = 250.98 Parameters = {'slow_ma_period': 1472, 'fast_ma_period': 409, 'atr_period': 128, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.02161090777656504
PNL = 4781.11 Max. Drawdown = 173.34 Parameters = {'slow_ma_period': 1230, 'fast_ma_period': 57, 'atr_period': 164, 'takeprofit': 3.45, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.02094797889601462
PNL = 3384.65 Max. Drawdown = 151.21 Parameters = {'slow_ma_period': 967, 'fast_ma_period': 21, 'atr_period': 1814, 'takeprofit': 2.0, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.02080276973977631
PNL = 9940.72 Max. Drawdown = 414.45 Parameters = {'slow_ma_period': 2000, 'fast_ma_period': 73, 'atr_period': 1983, 'takeprofit': 4.34, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.020445015073408904
PNL = 9417.68 Max. Drawdown = 387.29 Parameters = {'slow_ma_period': 1927, 'fast_ma_period': 3, 'atr_period': 2000, 'takeprofit': 4.8, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.020443232647827585
PNL = 11168.46 Max. Drawdown = 604.0 Parameters = {'slow_ma_period': 934, 'fast_ma_period': 8, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.019893492065855695
PNL = 9803.62 Max. Drawdown = 404.37 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 25, 'atr_period': 2000, 'takeprofit': 4.69, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.018542650591405436
PNL = 11113.39 Max. Drawdown = 601.53 Parameters = {'slow_ma_period': 942, 'fast_ma_period': 2, 'atr_period': 182, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.018100344226699913
PNL = 7972.92 Max. Drawdown = 320.21 Parameters = {'slow_ma_period': 1519, 'fast_ma_period': 34, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.017725763348614195
PNL = 8037.67 Max. Drawdown = 321.96 Parameters = {'slow_ma_period': 1625, 'fast_ma_period': 12, 'atr_period': 286, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.0176461898407091
PNL = 7889.42 Max. Drawdown = 316.69 Parameters = {'slow_ma_period': 1625, 'fast_ma_period': 9, 'atr_period': 290, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.017237391299715864
